# ==Summary of Cell Types for MODFLOW Simulation==
# "Dry" means cells assigned the value of HDRY or cells
# where the head is below the bottom elevation assigned to the cell.
# "Flooded" means (1) a cell where the head is above the top
# elevation assigned to the cell, (2) the layer is not a confined
# layer type, and (3) the cell is the highest active cell in the column.
Time, SP, TS, Active, Inactive, Dry, Flooded
123.00002288818, 1, 20, 6278, 13074, 4, 28
245.0001373291, 3, 1, 6276, 13076, 6, 27
365.00012207031, 4, 1, 6274, 13078, 8, 29
485.00012207031, 5, 1, 6274, 13078, 8, 29
608.0, 5, 10, 6274, 13078, 8, 21
730.00012207031, 6, 10, 6274, 13078, 8, 20
850.99987792969, 7, 10, 6274, 13078, 8, 22
973.99975585938, 8, 10, 6274, 13078, 8, 25
1095.9995117188, 9, 10, 6274, 13078, 8, 27
1215.9995117188, 10, 10, 6274, 13078, 8, 25
1339.0, 11, 10, 6274, 13078, 8, 23
1460.9995117188, 12, 10, 6274, 13078, 8, 22
1580.9995117188, 13, 10, 6274, 13078, 8, 23
1704.0, 14, 10, 6274, 13078, 8, 23
1824.0, 15, 10, 6274, 13078, 8, 22
1947.0004882813, 17, 1, 6274, 13078, 8, 24
2069.0, 17, 10, 6274, 13078, 8, 25
2189.0, 18, 10, 6274, 13078, 8, 23
2312.0004882813, 19, 10, 6274, 13078, 8, 23
2434.0, 20, 10, 6274, 13078, 8, 25
2554.0, 21, 10, 6274, 13078, 8, 23
2555.0009765625, 23, 1, 6274, 13078, 8, 23
2556.001953125, 24, 1, 6274, 13078, 8, 22
